Rank,Account name,Owner,"Followers
(millions)",Occupation,Country
1,@BarackObama,Barack Obama,130.3,44th President of the United States,United States
2,@justinbieber,Justin Bieber,114.4,Musician,Canada
3,@katyperry[a],Katy Perry,109.5,Musician,United States
4,@rihanna,Rihanna,102,Musician and businesswoman,Barbados
5,@Cristiano,Cristiano Ronaldo,92.21,Footballer,Portugal
6,@taylorswift13,Taylor Swift,88.9,Musician,United States
7,@ladygaga,Lady Gaga,84.2,Musician and actress,United States
8,@ArianaGrande,Ariana Grande,83.2,Musician and actress,United States
9,@TheEllenShow,Ellen DeGeneres,79,Comedian and television hostess,United States
10,@YouTube,YouTube,73.2,Online video platform,United States
11,@KimKardashian,Kim Kardashian,69.8,Television personality and businesswoman,United States
12,@narendramodi,Narendra Modi,68.2,Current Prime Minister of India,India
13,@selenagomez,Selena Gomez,65.1,Musician and actress,United States
14,@jtimberlake,Justin Timberlake,64.1,Musician and actor,United States
15,@cnnbrk,CNN Breaking News,61.3,News channel,United States
16,@twitter[b],Twitter,59.5,Social media platform,United States
17,@britneyspears,Britney Spears,56,Musician,United States
18,@ddlovato[c],Demi Lovato,55.2,Musician,United States
19,@elonmusk,Elon Musk,55.1,Businessman,United States
20,@BillGates,Bill Gates,55,Businessman and philanthropist,United States
21,@CNN,CNN,53.8,News channel,United States
22,@neymarjr,Neymar,53.5,Footballer,Brazil
23,@shakira,Shakira,52.9,Musician,Colombia
24,@jimmyfallon,Jimmy Fallon,51.8,Comedian and television host,United States
25,@nytimes,The New York Times,49.7,Newspaper,United States
26,@KingJames,LeBron James,49.6,Basketball player,United States
27,@BBCBreaking,BBC Breaking News,48,News channel,United Kingdom
28,@MileyCyrus,Miley Cyrus,46.4,Musician and actress,United States
29,@NASA,NASA,46.3,Space agency,United States
30,@SrBachchan,Amitabh Bachchan,45.7,Actor,India
31,@JLo,Jennifer Lopez,45.3,Musician and actress,United States
32,@Oprah,Oprah Winfrey,44,Television personality and businesswoman,United States
33,@BrunoMars,Bruno Mars,43,Musician,United States
34,@BeingSalmanKhan,Salman Khan,42,Actor and film producer,India
35,@iamsrk,Shah Rukh Khan,42,Actor and film producer,India
36,@PMOIndia,PMO India,41,Office of the Prime Minister of India,India
37,@NiallOfficial,Niall Horan,41,Musician,Ireland
38,@imVkohli,Virat Kohli,41,Cricketer,India
39,@akshaykumar,Akshay Kumar,41,Actor and film producer,Canada
40,@Drake,Drake,39,Rapper,Canada
41,@KylieJenner,Kylie Jenner,38.5,Television personality and businesswoman,United States
42,@SportsCenter,SportsCenter,38,Sports channel,United States
43,@KevinHart4real,Kevin Hart,37,Comedian and actor,United States
44,@ESPN,ESPN,36.8,Sports channel,United States
45,@Harry_Styles,Harry Styles,36.9,Musician,United Kingdom
46,@wizkhalifa,Wiz Khalifa,36.5,Rapper,United States
47,@realmadrid,Real Madrid CF,36,Football club,Spain
48,@FCBarcelona,FC Barcelona,36.6,Football club,Spain
49,@Louis_Tomlinson,Louis Tomlinson,36,Musician,United Kingdom
50,@sachin_rt,Sachin Tendulkar,35,Cricketer,India
